,Remaining NaNs,Unique Values,Data Type
ALUNIT32,0,6,int64
ALUNIT33,0,6,int64
ALUNIT34,0,3,int64
ALUNIT4,0,8,int64
ALUNIT5,0,7,int64
ALUNIT6,0,7,int64
ALUNIT7,0,8,int64
ALUNIT8,0,5,int64
ALUNIT9,0,6,int64
ALUNIT90,0,7,int64
ALUNIT91,0,1,int64
ATIME14A,0,27,int64
AUNIT14A,0,2,int64
BEDDAYR,0,111,int64
FLA1AR,0,3,int64
FLCARRY,0,8,int64
FLCLIMB,0,8,int64
FLGRASP,0,8,int64
FLPUSH,0,8,int64
FLREACH,0,8,int64
FLRELAX,0,8,int64
FLSHOP,0,8,int64
FLSIT,0,8,int64
FLSOCL,0,8,int64
FLSTAND,0,8,int64
FLSTOOP,0,8,int64
FLWALK,0,8,int64
SPECEQ,0,4,int64
WKDAYR,0,99,int64
ALC12MNO,0,89,int64
ALC12MTP,0,4,int64
ALC1YR,0,2,int64
ALC5UPN1,0,96,int64
ALC5UPT1,0,7,int64
ALC5UPY1,0,100,int64
ALCAMT,0,29,int64
ALCLIFE,0,2,int64
BINGE1,0,39,int64
CIG30D2,0,23,int64
CIGAREV2,0,2,int64
CIGCUR2,0,3,int64
CIGDAMO,0,32,int64
CIGQTYR,0,2,int64
CIGSDA1,0,38,int64
CIGSDA2,0,21,int64
ECIG30D2,0,28,int64
ECIGCUR2,0,3,int64
ECIGEV2,0,2,int64
MODLNGNO,0,55,int64
MODLNGTP,0,2,int64
MODNO,0,50,int64
MODTP,0,9,int64
PIPECUR2,0,3,int64
PIPEV2,0,2,int64
SMKEV,0,2,int64
SMKLSCR2,0,3,int64
SMKLSTB1,0,2,int64
SMKNOW,0,3,int64
SMKQTNO,0,73,int64
SMKQTTP,0,5,int64
SMKREG,0,62,int64
STRNGNO,0,33,int64
STRNGTP,0,9,int64
VIGLNGNO,0,52,int64
VIGLNGTP,0,4,int64
VIGNO,0,44,int64
VIGTP,0,9,int64
SMKSTAT2,0,5,int64
SMKQTY,0,69,int64
CIGSDAY,0,38,int64
VIGFREQW,0,24,int64
MODFREQW,0,24,int64
STRFREQW,0,21,int64
VIGMIN,0,51,int64
MODMIN,0,51,int64
ALC12MWK,0,12,int64
ALC12MYR,0,94,int64
ALCSTAT,0,6,int64
AHEIGHT,0,22,int64
AWEIGHTP,0,204,int64
BMI,0,2031,float64
AUSUALPL,0,6,int64
APLKIND,0,8,int64
AHCPLROU,0,2,int64
AHCPLKND,0,10,int64
AHCCHGYR,0,4,int64
AHCCHGHI,0,3,int64
AHCDLYR1,0,2,int64
AHCDLYR2,0,2,int64
AHCDLYR3,0,2,int64
AHCDLYR4,0,2,int64
AHCDLYR5,0,2,int64
AHCAFYR1,0,2,int64
AHCAFYR2,0,2,int64
AHCAFYR3,0,2,int64
AHCAFYR4,0,2,int64
AWORPAY,0,3,int64
ARX12MO,0,2,int64
ARX12_1,0,4,int64
ARX12_2,0,2,int64
ARX12_3,0,2,int64
ARX12_4,0,2,int64
ARX12_5,0,2,int64
ARX12_6,0,2,int64
ADNLONG2,0,9,int64
AHCSYR1,0,2,int64
AHCSYR2,0,2,int64
AHCSYR3,0,2,int64
AHCSYR4,0,2,int64
AHCSYR5,0,2,int64
AHCSYR6,0,2,int64
AHCSYR7,0,2,int64
AHCSYR8,0,2,int64
AHCSYR9,0,2,int64
AHCSYR10,0,2,int64
AHERNOY2,0,12,int64
AHCHYR,0,2,int64
AHCHMOYR,0,14,int64
AHCHNOY2,0,11,int64
AHCNOYR2,0,12,int64
ASRGYR,0,2,int64
AMDLONGR,0,9,int64
HIT1A,0,2,int64
HIT2A,0,2,int64
HIT3A,0,2,int64
HIT4A,0,2,int64
FLUVACYR,0,2,int64
FLUVACTP,0,3,int64
FLUVAC_M,0,14,int64
FLUVAC_Y,0,4,int64
FLUSHPG1,0,2,int64
FLUSHPG2,0,4,int64
SHTPNUYR,0,2,int64
APOX,0,2,int64
APOX12MO,0,3,int64
AHEP,0,2,int64
AHEPLIV,0,2,int64
SHTHEPB,0,2,int64
SHEPDOS,0,4,int64
SHTHEPA,0,2,int64
SHINGLE1,0,2,int64
ZOSTAVAX,0,3,int64
ZOSTAWHN,0,3,int64
SHINGRIX,0,3,int64
SHINGRNB,0,3,int64
SHINGWHN,0,3,int64
SHTTD,0,2,int64
SHTHPV2,0,6,int64
AHPVAGE,0,49,int64
LIVEV,0,2,int64
TRAVEL,0,2,int64
WRKDIR,0,2,int64
APSBPCHK,0,2,int64
APSCHCHK,0,2,int64
APSBSCHK,0,2,int64
SHTTDAP2,0,6,int64
WRKHLTH2,0,2,int64
ASRGNOYP,0,8,int64
SHEPANOP,0,7,int64
ZOSTAYRP,0,15,int64
SHINGYRP,0,5,int64
SHPVDOSP,0,8,int64
SHPNEUNP,0,8,int64
ASICPUSE,0,7,int64
ASISATHC,0,8,int64
ASITENUR,0,8,int64
ASINHELP,0,7,int64
ASINCNTO,0,7,int64
ASINTRU,0,7,int64
ASINKNT,0,7,int64
ASISIM,0,7,int64
ASISIF,0,7,int64
